SID	tai_cnnPC1	tai_cnnPC2	tai_cnnPC3	tai_cnnPC4	tai_cnnPC5	tai_cnnPC6	tai_cnnPC7	tai_cnnPC8	tai_cnnPC9	tai_cnnPC10
TE0004044	2.7917042	-17.176304	23.213911	-29.78531	-4.922114	1.1240335	33.882744	5.3347425	-7.247508	0.1815003
TE0004045	22.403189	38.403202	-27.954885	-17.357307	8.388179	0.80983555	13.12467	9.765677	-7.3983335	5.682156
TE0004046	-11.214218	-11.440285	-23.933735	-31.72106	28.989286	19.738674	8.000299	15.181053	42.983486	-10.240645
TE0004047	-84.55185	77.142914	-30.020622	-77.0324	-9.814451	-14.2205925	-22.840187	-15.930476	-23.241356	-5.5156627
TE0004048	-8.9595	68.9612	-57.023552	-30.93543	-0.6881081	-9.327567	10.256669	16.78401	-10.956542	37.231743
TE0004049	-29.699236	6.9304237	14.430492	-15.878285	13.458293	-6.076151	-4.584532	-11.341605	1.8501598	14.998992
TE0004050	-5.6934757	-14.207227	-22.778801	-28.060318	-9.068036	27.862003	4.6469088	8.018688	-17.353764	7.516668
TE0004051	66.31132	-11.422267	30.692406	-23.507938	-17.0938	21.277086	-0.9464411	-0.42241076	0.52865666	-7.1055446
TE0004052	-24.37849	33.123627	-7.9154897	-48.15147	14.402629	5.3345466	12.271461	-5.6709948	7.3150325	2.1096249
TE0004053	-45.092625	18.647024	-4.4199643	-53.44724	6.78249	-17.464476	3.1388872	-14.12136	4.5198374	5.1519966
TE0004054	34.770878	60.370827	-22.812826	10.842788	-11.217252	-8.736176	6.5055404	-26.484123	-1.0296179	-12.890715
TE0004055	-1.0842226	13.797833	-45.356426	-42.86425	5.6873693	30.46718	-35.230072	21.712591	-23.569738	2.1887717
TE0004056	-20.75535	-46.38548	-0.13935016	-1.0679779	25.071537	15.221088	-12.271739	-22.51629	8.078082	1.9080883
TE0004057	-36.158184	1.6991537	-3.7582123	-28.968395	-7.575167	-15.749569	5.7759485	-9.810432	-3.2702577	18.403189
TE0004058	-20.313938	-14.006503	-0.6284259	-40.061756	21.629875	2.4077003	0.5384275	17.373001	-22.28381	-8.861995
TE0004059	3.7247157	-15.300357	-3.0008729	-48.96704	5.124256	-2.252283	0.27914757	30.077692	-10.503168	12.195097
TE0004060	-50.454895	38.5133	5.544157	-4.5407524	-3.0895784	44.096443	5.3213334	15.085301	-1.7245721	17.240705
TE0004061	11.146751	7.027121	2.531882	-34.214367	3.1846857	7.86952	7.9471903	3.1583455	-10.838987	12.993652
TE0004062	10.478115	-45.189346	-32.610813	-28.418518	-9.631557	12.625839	-13.81004	14.18057	9.267162	-4.472638
TE0004063	-2.1344995	-10.429978	40.538208	0.22108048	2.6470306	55.136227	-0.96613306	-2.859341	11.6952505	8.926932
TE0004064	39.453255	-17.148746	-20.74285	-19.690989	22.045364	2.9347916	5.105082	-0.55060095	12.809555	-15.279768
TE0004065	19.4192	64.88184	0.49465686	-49.854343	3.2450647	5.379343	-10.208197	-30.69495	-41.913193	15.397451
TE0004066	-21.616014	26.842371	-27.289595	39.42166	50.876987	-11.038249	13.054345	-8.860776	-9.401023	4.8742676
TE0004067	-31.559505	9.769878	-20.616365	-56.10234	-8.084286	23.383837	-4.847104	-0.09905559	-17.695871	0.29634005
TE0004068	16.254433	-28.423563	-10.885962	1.9674196	34.724472	27.33609	15.838547	-18.240456	-5.918645	-6.3219004
TE0004069	29.314434	-5.602304	-7.3141413	10.084007	18.39384	19.23144	11.040564	2.1347287	-8.322699	-2.1858635
TE0004070	36.570065	-5.6716676	55.019154	-17.290047	-5.36362	8.040996	7.818816	-5.1795125	-13.616375	13.976951
TE0004071	-73.22023	46.28133	-17.631886	7.540475	6.107401	25.851944	-3.5704591	-19.530825	-0.89348173	-8.368525
TE0004072	-0.011584861	-9.480413	-1.2654396	-3.3589938	20.433704	4.93983	21.9003	-8.705873	-11.827809	12.391197
TE0004073	-44.63302	4.8942957	-19.499006	-22.260225	-23.089838	5.0367928	11.188704	-10.482763	-6.7862	-12.328199
TE0004074	-14.432085	8.989904	-31.194328	-44.723648	7.5554447	15.109002	16.197374	-7.486421	12.07964	2.1192653
TE0004075	-24.845919	8.840108	-41.18925	-40.998234	10.985764	-29.002337	12.738154	20.409554	5.268451	26.697607
TE0004076	10.276009	-25.362692	-24.47334	4.910441	-11.365558	10.299543	-16.32077	-10.477795	1.7692859	-25.793037
TE0004077	-59.175594	28.907038	1.0608662	-16.961056	-22.19566	2.8310115	12.121751	-22.252405	1.5081786	-22.601435
TE0004078	-17.592762	-25.8424	-11.401129	-41.121975	9.957906	-5.080739	3.8440652	-4.5459423	1.1879704	23.501743
TE0004079	-28.772158	-11.740236	-22.001661	-12.91631	5.7157583	22.891932	-0.2551395	9.943719	-11.968239	-6.256573
TE0004080	27.138031	-32.66977	-67.052284	-48.890022	19.854994	2.9746974	-0.3325543	21.526127	21.412804	-11.006501
TE0004081	-24.075489	1.0048727	-2.4369538	-33.823154	12.003744	1.2889178	15.444405	-6.5627804	-13.260183	3.6909485
TE0004082	14.467506	16.764843	-4.570785	-13.452793	-8.719906	17.67743	9.436596	9.170996	-16.333235	-6.898147
TE0004083	-3.4333649	-24.566551	-19.754158	-33.149326	11.986244	11.148647	14.430825	-13.326359	15.678505	0.766372
TE0004084	57.240093	1.2274127	-6.114379	-17.597063	-36.632294	15.23727	26.450445	24.05062	-0.104860246	2.721632
TE0004085	-41.62775	56.95984	-10.204635	6.684735	39.584396	13.803884	5.0713663	-31.179054	8.857307	-17.228481
TE0004086	-8.582957	9.196784	-24.077835	-39.955162	-1.2924778	-22.613321	12.588665	6.1126904	16.059742	6.9093137
TE0004087	-24.52995	35.154274	6.310443	-19.77241	-11.872828	13.79338	15.843819	-19.096365	-13.618061	6.7786098
TE0004088	-6.691403	-14.520866	15.7985325	-12.899384	15.110274	44.85031	11.334244	-8.096485	13.076715	4.721676
TE0004089	0.17633356	-0.6247264	-29.841055	-21.5114	30.652977	-7.7153206	13.946362	-2.0537946	1.6915077	30.873913
TE0004090	21.097752	-0.57829446	12.294897	-20.2748	7.126656	19.957787	23.250135	13.227313	5.08898	5.2922277
TE0004091	-1.0562449	-6.9382505	-12.815933	46.051945	7.0285926	-14.990127	40.453663	-17.656174	-14.41405	6.8319097
TE0004092	56.18879	18.35089	-16.1686	-4.9431944	-18.995962	46.096725	-9.310406	-11.985544	-8.403595	-2.7689807
TE0004093	-71.766304	16.153383	-44.95565	-7.873534	-3.2210755	-3.7085326	-12.914153	-25.354885	6.743537	25.456074
TE0004094	3.5674956	-60.232582	37.371845	-5.0643225	4.233666	14.714482	20.624556	7.227799	-1.0474054	-1.9245061
TE0004095	15.799558	-13.763138	-33.13888	-19.710638	4.947967	2.3585737	4.5521874	55.8569	12.166696	10.321147
TE0004096	1.759406	-10.494747	7.8385987	-37.75325	3.210922	14.507828	28.58021	7.1510997	9.232876	8.604531
TE0004097	0.5982043	-39.206917	-21.458755	-37.61973	25.627613	26.747591	7.2498603	-3.720487	7.4976077	-10.970257
TE0004098	7.793554	-15.822544	-16.969564	-4.7507358	32.002243	-12.418534	8.877858	-17.608364	24.349417	-11.445661
TE0004099	26.378197	24.99502	6.974535	11.834969	-1.967354	46.17327	6.630446	14.600723	24.152658	10.583763
TE0004100	3.4786282	-30.168184	-33.354034	-25.966015	14.599087	18.272257	24.253174	5.125346	3.5077002	-16.291323
TE0004101	-1.6547967	6.2352424	9.493153	-24.04891	1.3042588	-34.95501	7.8423843	-19.887117	13.790238	6.0102587
TE0004102	19.438974	12.20623	-39.492077	-11.514614	30.039532	-5.105059	43.885887	20.934778	-5.5596204	7.850405
TE0004103	-32.859818	-18.965271	-18.124743	-47.760635	26.567417	36.546665	15.96712	2.6192932	-2.863739	-7.043989
TE0004104	86.211586	5.493656	-14.652927	5.807007	-15.172563	-12.0534115	-10.645377	1.8401576	18.877934	17.183857
TE0004105	54.6667	30.140675	-50.35978	-40.393467	-9.765697	-15.385397	-10.251375	-9.081241	25.0776	-3.3061974
TE0004106	30.516321	32.4983	6.874477	-41.400547	22.00718	10.4902	25.585041	-0.068525255	12.838361	5.8395853
TE0004107	-11.895979	-4.6672792	21.334965	-11.238743	1.2000521	42.15623	-18.734396	-29.386673	1.0201563	4.6525154
TE0004108	-8.42017	37.05581	-12.3440895	-27.580381	7.1188025	-8.882266	32.81856	30.76753	-14.706129	24.343176
TE0004109	-9.4691725	14.406129	-0.6786685	-24.035582	-40.049294	8.122273	-9.505886	13.185941	-3.9229026	-9.495582
TE0004110	-15.646831	-19.720276	16.430098	-9.037878	-13.766328	-14.242104	25.230335	-0.64456165	-5.2093143	19.67834
TE0004111	22.222359	-21.123932	-1.59799	3.5337143	-0.6771759	23.09966	7.2548094	-14.976058	5.8258924	-1.286818
TE0004112	63.419327	-0.85536176	-20.987608	18.576197	-21.227957	14.755537	11.423587	-9.672736	-6.4329047	-3.9997313
TE0004113	3.3630848	-25.045292	-21.688475	-15.957617	0.6280061	20.643122	22.634754	-8.920781	-5.5313525	5.577591
TE0004114	85.74138	58.393806	5.9842863	-11.346343	1.0086268	-8.047245	2.7795417	0.012364083	11.44029	-5.1080756
TE0004115	14.188365	16.92925	-17.866747	-23.521717	-0.034026984	33.50009	4.005317	-3.1090052	-14.397586	32.767853
TE0004116	31.31439	-24.689342	-20.825459	-34.612797	12.027932	14.760251	-13.425827	7.1220164	-6.145428	-6.209956
TE0004117	-17.758709	23.315985	-34.612453	-56.738354	48.417854	-3.650637	-1.4476278	11.75055	36.39908	-3.8731835
TE0004118	44.935028	-3.1982265	-18.253899	19.10597	-14.27442	39.41337	-19.221304	-20.70429	2.3322632	-13.407766
