SID	tg_lbp1	tg_lbp2	tg_lbp3	tg_lbp4	tg_lbp5	tg_hog1	tg_hog2	tg_hog3	tg_hog4	tg_hog5	tg_contrast	tg_dissimilarity	tg_homogeneity	tg_energy	tg_correlation	tg_entropy
TE0005475	44010	24509	34588	22881	47559	301443	23036	434	45	14	87.47582271	3.466961087	0.519564597	0.36504324	0.920391896	6.668514725
TE0005476	49605	20573	29238	19112	51997	311223	22757	483	50	17	79.5537495	3.105179938	0.553774814	0.395644688	0.945383101	7.052096069
TE0005477	56182	27179	39620	26748	69889	368431	26565	546	45	17	55.66053539	3.084081288	0.515686223	0.336119118	0.937007816	6.515771792
TE0005478	32122	14813	22229	15466	45835	231719	17719	549	43	17	61.51527232	2.257149541	0.615929866	0.388528624	0.942873669	6.566692628
TE0005479	43552	17039	25753	14474	44275	241122	21224	454	27	18	77.71476085	3.045815296	0.54946705	0.353453928	0.952008431	6.741962191
TE0005480	34578	13827	26171	14149	44164	216112	17373	634	40	12	68.65060229	2.621055251	0.565491413	0.3377796	0.924817273	6.398064818
TE0005481	53134	18985	28688	17855	58666	277477	23245	551	36	11	87.27886062	3.831247771	0.469638336	0.308589917	0.919514769	6.654517112
TE0005482	58740	23455	37938	21346	58704	343202	25547	542	51	18	84.07732057	3.508440191	0.518882224	0.354955622	0.947836753	7.025885778
TE0005483	48272	18097	33805	18849	57148	275788	24944	529	43	16	79.5581657	2.709109827	0.554458286	0.315900221	0.958905472	6.862550561
TE0005484	54904	27152	47513	32825	87917	406879	31967	741	68	13	45.87852014	1.836999708	0.632428546	0.318143001	0.967694671	6.620626145
TE0005485	27401	10802	16533	10605	29307	181085	12941	327	36	11	64.66854344	3.118778233	0.564774629	0.433248525	0.917293489	6.628159019
TE0005486	31425	12689	22503	12995	39179	206069	16571	401	16	17	60.67285857	2.281766572	0.61293988	0.378310865	0.934459827	6.702185938
TE0005487	54200	20170	30547	18618	53889	284938	20867	468	48	21	104.9602693	4.310760917	0.458295365	0.31137495	0.936601178	6.967439146
TE0005488	45103	16806	31044	17612	50705	269077	21151	582	43	18	57.77390586	2.859096174	0.528612286	0.344174455	0.952709883	6.773728478
