SID	zhi_lbp1	zhi_lbp2	zhi_lbp3	zhi_lbp4	zhi_lbp5	zhi_hog1	zhi_hog2	zhi_hog3	zhi_hog4	zhi_hog5	zhi_contrast	zhi_dissimilarity	zhi_homogeneity	zhi_energy	zhi_correlation	zhi_entropy
TE0001799	34612	10417	14067	10768	25220	406640	24211	678	140	61	52.96317782	2.050069549	0.804704873	0.725585209	0.796111734	6.439761798
TE0001800	27122	8205	11554	9517	22213	337580	18249	433	99	39	49.11631197	1.846225889	0.814489537	0.730637567	0.820509725	6.481652672
TE0001801	48997	14757	19868	16586	38824	548232	30542	1043	170	54	58.76694655	2.229333366	0.785549518	0.702094365	0.805088624	6.437412879
TE0001802	47428	15919	22530	16884	35839	467355	31127	635	126	41	68.45405663	2.604207512	0.744780058	0.654370816	0.816028596	6.542035219
TE0001803	33705	11651	15977	13071	25570	498841	23943	965	108	51	62.54771584	2.018006844	0.822997168	0.760421424	0.816073264	6.646561584
TE0001804	51102	18794	29386	22859	48797	513060	28837	631	47	44	45.96372433	2.041258741	0.740903041	0.616888611	0.888325812	6.50331346
TE0001805	23115	8540	12362	9151	20547	333618	17965	427	60	37	43.22240308	1.645922086	0.824947171	0.745087526	0.867981553	6.657598815
TE0001806	38399	10291	16142	11518	29869	375160	23473	555	114	28	66.4453485	2.40928597	0.774315586	0.675512898	0.820517627	6.548821216
TE0001807	33332	11232	14648	12766	23692	489385	27940	892	141	42	72.99343662	2.263829807	0.81974137	0.768670126	0.838089319	6.933755593
TE0001808	23541	8305	12612	9085	16583	385120	19360	703	161	61	53.98631447	1.668546515	0.844768383	0.785816913	0.843621301	6.875751681
TE0001809	27810	9353	13122	11066	21465	393365	19195	646	90	47	55.60897228	1.8680199	0.822197007	0.75605904	0.882267827	6.958354576
TE0001810	26101	7215	9047	7027	15658	397813	22348	888	102	49	62.06289575	2.00433062	0.845064678	0.803035779	0.7901372	6.745323838
TE0001811	35744	10148	14075	11238	23983	354559	18963	541	125	32	60.23220229	2.084163856	0.788090792	0.687802664	0.901361909	6.828963975
TE0001812	27248	10804	15677	12927	22964	534947	21446	726	107	54	30.81140713	1.152460042	0.868586142	0.803864756	0.886973263	6.711692722
TE0001813	25342	8716	12066	8991	18587	330657	16103	719	135	38	59.82640367	2.054227736	0.806744397	0.741693825	0.861782176	6.862710557
TE0001814	45699	13578	18370	14612	30968	521293	30414	899	168	51	78.7196926	2.567095346	0.786401115	0.721669982	0.824920524	6.773477735
TE0001815	20232	7363	9668	8479	13543	394981	18056	718	94	61	42.68176824	1.47406695	0.86721803	0.8236627	0.79901955	6.678230295
TE0001816	72470	23129	30514	24264	56260	613310	36856	636	59	55	89.85937962	3.425624558	0.688765305	0.604173286	0.830795969	6.614242154
TE0001817	60320	20557	31569	24432	56336	535521	34340	770	121	55	51.83215955	2.271095545	0.724660502	0.585631215	0.847662186	6.335948525
TE0001818	31960	11174	14252	12580	23027	512443	23949	942	136	46	60.8114362	2.00775791	0.830535082	0.781087248	0.825791945	6.825230054
TE0001819	31511	10400	15098	12425	25087	450761	20754	713	110	54	48.26499744	1.635511766	0.834820813	0.755267999	0.87135845	6.821707495
TE0001820	34883	10826	15171	11550	21392	508890	28091	924	134	44	85.56290145	2.602784875	0.817819309	0.776091984	0.829631363	6.925341925
TE0001821	41128	12311	17489	14839	33923	462790	28205	682	104	51	60.54464095	2.337160762	0.778980522	0.696777909	0.804330065	6.450483959
TE0001822	28922	8397	11915	10387	22322	436290	20808	1001	133	66	42.77734667	1.502529502	0.851523313	0.778657782	0.806038112	6.430115099
