SID	fissure_cnnPC1	fissure_cnnPC2	fissure_cnnPC3	fissure_cnnPC4	fissure_cnnPC5	fissure_cnnPC6	fissure_cnnPC7	fissure_cnnPC8	fissure_cnnPC9	fissure_cnnPC10
TE0004074	-23.6844	10.919015	3.8764584	0.37226263	-8.549497	9.780797	-3.3145378	-8.698539	8.673689	4.175381
TE0004075	-3.8465502	-16.806637	-10.226084	8.806812	-2.7089293	2.364701	-2.2831273	3.2781165	1.1876125	-4.4391294
TE0004076	44.270943	8.990758	38.81005	-19.909437	-8.317746	-2.522045	-4.13774	0.21337447	18.165205	4.771628
TE0004077	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004078	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004079	20.306616	-15.186331	-11.357569	-1.5736217	-12.688676	-13.500719	13.17	-0.31727377	4.003813	2.9809268
TE0004080	25.879873	-6.8273225	-5.925364	9.028722	10.79395	4.4435544	21.07989	-6.35577	1.9630674	10.348213
TE0004081	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004082	-31.355282	-9.50115	-2.805886	1.7454914	2.1690674	-5.097816	-3.2180731	-8.088767	3.9738593	2.563576
TE0004083	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004084	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004085	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004086	0.7613194	-8.394885	-6.435218	-15.662528	6.495951	0.88971955	5.2642875	4.194681	-2.2209847	-2.9731185
TE0004087	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004088	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004089	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004090	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004091	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004092	24.003605	-6.2280464	-9.239908	-18.880758	-3.909099	-7.889357	14.90104	-5.721496	6.9412413	6.321033
TE0004093	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004094	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004095	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004096	7.8053336	-7.7569337	-3.4303448	5.8988857	-4.2697864	5.737694	-9.761599	-3.9005895	-14.786955	-10.325655
TE0004097	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004098	3.5806067	-9.579645	28.733078	-5.616195	-9.415158	2.509913	2.3742585	-4.5638366	-4.560425	-3.0067463
TE0004099	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004100	-22.749434	-6.4076433	2.9342787	-3.6452942	-4.833219	-11.249471	3.3351269	-0.27378878	1.5886452	3.7453082
TE0004101	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004102	7.3149652	-19.831635	-4.8431706	-4.991241	0.2063902	0.6782136	13.970984	3.2964828	6.809594	-0.09928876
TE0004103	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
