SID	tai_lbp1	tai_lbp2	tai_lbp3	tai_lbp4	tai_lbp5	tai_hog1	tai_hog2	tai_hog3	tai_hog4	tai_hog5	tai_contrast	tai_dissimilarity	tai_homogeneity	tai_energy	tai_correlation	tai_entropy
TE0005559	14948	4241	6738	4330	17292	220556	14412	975	104	68	143.8303614	2.841645994	0.815421657	0.755756105	0.857813492	7.318803226
TE0005560	8833	2226	2818	2120	7048	191200	12048	747	86	39	121.9720785	2.608032675	0.872617182	0.855160986	0.772016665	7.219661553
TE0005561	14290	4772	6819	4891	13745	192148	13580	657	116	49	155.8574268	3.447203628	0.780223269	0.736047154	0.767340823	7.075142228
TE0005562	27851	8901	13255	9028	25952	289832	22055	930	105	62	105.111955	3.272633306	0.729664135	0.665182493	0.796956766	6.581465842
TE0005563	27477	8199	13050	8988	28400	284340	19003	1187	122	70	151.0069302	3.264646264	0.739300573	0.657807575	0.710864215	6.212919723
TE0005564	18180	6992	14230	10238	31797	269077	20122	973	84	48	123.4818148	2.821275333	0.781485303	0.659149827	0.882924077	7.013929003
TE0005565	27742	7248	9617	6540	24300	293824	16165	1110	123	61	145.8528858	3.214330519	0.761356969	0.702830461	0.778925295	6.570520496
TE0005566	33116	8861	11705	8369	29230	313839	21338	1425	131	65	181.8274312	3.783613267	0.72632928	0.658444377	0.628253865	6.063815185
TE0005567	21931	6095	7533	5715	17260	215443	15299	920	109	51	202.1683498	4.0983189	0.736840911	0.688370131	0.764277147	6.460287811
TE0005568	27723	7252	9998	7254	25149	244483	17731	903	97	36	193.0851146	3.881595723	0.719402405	0.639601322	0.535630043	5.906772884
TE0005569	18091	4477	6167	4491	15764	214811	13086	1063	130	59	160.1482518	3.093176084	0.79114316	0.738455591	0.644409417	6.168391795
TE0005570	40361	9893	13203	10414	37866	330712	23714	1173	118	35	186.7750712	4.32853753	0.685507228	0.607907382	0.733973321	6.251230445
TE0005571	23358	7237	10131	7653	25087	246955	16334	934	109	52	128.9621984	3.03274976	0.759324003	0.666543212	0.786394219	6.412131444
TE0005572	17914	7041	11284	8303	20561	256193	14923	1105	134	48	114.5999743	2.646538297	0.774725637	0.708748567	0.68654043	6.358504653
TE0005573	18934	5279	9299	5947	21532	192798	13868	724	81	51	96.45770152	2.338875587	0.763134171	0.65355211	0.819916636	6.173566745
TE0005574	33223	10217	16950	10564	41229	302040	22802	1121	95	48	146.1606035	3.449570726	0.701870692	0.579659611	0.874931207	6.85812192
TE0005575	18792	6492	12195	9421	28096	190459	13648	703	94	26	95.57549799	2.136650219	0.748953567	0.565804015	0.799666898	5.918841429
TE0005576	25492	6522	9692	6893	27842	251256	19202	1120	121	56	182.50348	3.739610426	0.738859876	0.652857959	0.823344693	6.800739832
