SID	zhi_cnnPC1	zhi_cnnPC2	zhi_cnnPC3	zhi_cnnPC4	zhi_cnnPC5	zhi_cnnPC6	zhi_cnnPC7	zhi_cnnPC8	zhi_cnnPC9	zhi_cnnPC10
TE0004102	21.418423	47.047245	-65.84671	8.043315	45.48413	9.456299	25.74152	-3.1316824	-4.3695383	-6.5652843
TE0004103	-9.151394	45.293255	-42.190636	-25.05278	4.7194033	3.4455454	2.6418316	3.5993812	-1.9787918	-6.879282
TE0004104	73.982605	-56.00417	-16.20745	2.7476227	14.589146	4.0339947	-58.203922	18.772293	-26.671207	-28.267345
TE0004105	87.57544	-44.549477	-35.321762	-13.065184	-2.7179384	30.47919	-14.087123	8.132881	-24.53952	-11.921952
TE0004106	-25.737331	36.24185	-66.74335	-45.10372	21.628447	25.267353	8.347642	-2.2606328	-34.011963	-9.355512
TE0004107	-35.18803	20.133175	-30.105947	-20.066967	-51.911167	15.0631275	-25.277672	-6.101185	13.196402	5.469828
TE0004108	11.074244	31.31351	-79.2294	38.770287	-18.429758	23.82728	36.816467	-0.9634468	5.458013	-0.62488204
TE0004109	28.74435	-54.383415	2.2253187	-23.241245	-28.346905	-7.836037	21.867495	-9.40424	-1.4057548	-3.9311883
TE0004110	-26.23602	-8.304865	-24.510864	10.63145	-23.114103	-1.635416	33.05335	-8.851631	-2.7007425	-4.8753605
TE0004111	25.43514	11.285015	2.5599682	30.49146	23.042074	-23.16477	8.927408	22.41976	23.299467	7.565652
TE0004112	11.637443	-42.628677	-5.3244243	-0.7583811	15.607931	-20.280697	-6.547155	-4.0410166	21.677103	-9.518582
TE0004113	41.567078	-3.1209435	-46.328705	-8.425249	7.060786	21.886126	0.6939608	-6.7796826	-1.809503	-10.832519
TE0004114	78.78913	-18.161022	-37.900684	17.01729	-10.78556	35.09381	-2.9294944	19.469435	-20.245852	-18.00337
TE0004115	15.211317	-12.795383	-40.099724	-27.449255	3.6586516	20.254232	0.4643027	0.35411054	-24.80991	32.488216
TE0004116	-13.690411	-39.930023	-34.236076	-1.8547904	-28.851116	15.742812	-24.021969	0.553443	11.857829	1.5094355
TE0004117	-16.768036	31.862242	-15.85171	8.376992	-29.839233	-2.5411103	9.852183	62.60165	13.467737	7.11516
TE0004118	31.106194	-43.83294	0.42730787	3.2434025	27.778048	-10.1505575	-22.10495	-3.2304938	5.8703184	8.325993
