SID	tooth_mk_cnnPC1	tooth_mk_cnnPC2	tooth_mk_cnnPC3	tooth_mk_cnnPC4	tooth_mk_cnnPC5	tooth_mk_cnnPC6	tooth_mk_cnnPC7	tooth_mk_cnnPC8	tooth_mk_cnnPC9	tooth_mk_cnnPC10
TE0004085	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004086	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004087	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004088	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004089	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004090	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004091	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004092	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004093	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004094	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004095	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004096	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004097	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004098	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004099	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004101	14.393667	-10.001319	3.3031547	5.2022495	-8.797154	-10.733929	-10.971677	10.029581	-6.3064294	8.435335
TE0004102	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004103	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004104	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004105	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004106	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004107	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004108	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004109	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
