SID	tg_cnnPC1	tg_cnnPC2	tg_cnnPC3	tg_cnnPC4	tg_cnnPC5	tg_cnnPC6	tg_cnnPC7	tg_cnnPC8	tg_cnnPC9	tg_cnnPC10
TE0004001	57.767048	-8.029152	-40.81733	-3.6262002	-7.0013595	-13.784948	-13.424824	-11.409261	19.342756	15.358745
TE0004002	55.7769	-33.182926	34.879856	10.864847	-25.114147	-3.0364516	-3.1556022	3.9422417	-7.6785493	0.12857002
TE0004003	-8.144462	-27.138939	2.9029021	-20.340845	-34.423203	12.601479	28.566319	31.34111	-9.1914835	18.018717
TE0004004	-1.4573367	-30.60603	24.7208	8.974686	3.3634193	13.045697	19.767801	-3.6146064	-12.273562	-6.558539
TE0004005	47.9792	-7.313598	32.913044	12.966531	-29.392546	-30.584795	4.368524	25.08885	15.578715	-22.449055
TE0004006	24.384842	-40.15517	47.66872	27.622276	27.463264	-15.283129	-14.980672	-12.634908	-10.350819	-8.648781
TE0004007	98.302505	53.23677	9.042944	43.351482	6.8604913	-1.3004766	-7.7687116	-6.206264	-0.40170678	-22.833994
TE0004008	67.59802	54.3491	0.7751138	0.71504074	1.5187002	-11.332134	15.755055	19.756618	5.1316495	-7.6771574
TE0004009	90.58984	6.886871	9.587138	-35.76858	-17.447733	-7.410143	66.30362	3.4283755	-37.950264	-29.182337
TE0004010	45.233887	-65.00698	-27.039717	-8.660865	-4.048952	-30.613235	11.37401	-5.0613184	-4.6960206	-7.2302685
TE0004011	48.03182	-18.516405	36.95461	40.63803	-7.365358	4.4189844	-5.623956	18.921877	-22.913628	10.470045
TE0004012	62.285706	17.683964	55.35071	6.8030663	-4.8018394	-3.5691783	-1.5070744	19.33401	0.97268516	-3.1350846
TE0004013	42.74413	-55.048973	1.4832209	-7.940971	-10.412065	-31.112375	-7.610761	26.370642	5.6656275	-4.3549466
TE0004014	21.768763	-11.763607	-53.596615	-0.08383523	-1.0668195	6.505834	12.395265	1.845373	-17.143932	6.472867
TE0004015	84.677826	-5.5036454	12.096109	16.88684	-58.76995	17.030985	-0.9702518	-4.020608	-19.447746	-17.016245
TE0004016	38.471706	-21.004639	19.510143	24.776176	-27.412704	-4.1943197	-4.846865	13.1028185	8.683759	7.001199
TE0004017	75.87774	12.952298	7.5801773	15.401876	-11.254549	13.212758	6.827001	8.16887	2.1748183	-24.520535
TE0004018	36.13615	-66.20487	-12.798175	23.544046	20.984386	-18.538155	0.3631523	15.092878	7.356378	7.600285
TE0004019	77.2603	30.838335	11.580318	-17.590216	-18.253029	-7.472404	18.79557	4.5276384	-10.553605	-17.03379
TE0004020	-21.083563	40.017365	7.5487046	-26.063723	7.065089	1.3052348	-7.9186482	11.047909	39.475906	-18.050081
TE0004021	58.637615	-37.91829	32.929478	14.18564	17.579866	29.80299	-16.590944	30.596766	10.429709	-1.7640419
TE0004022	97.909065	-11.504465	34.217327	21.952328	-2.2187228	17.735502	-11.166958	21.928783	8.566979	-4.167828
TE0004023	78.332016	-30.714815	-12.318937	6.9414086	-11.620348	39.421207	-33.585213	-7.9805856	-14.998626	-16.762644
TE0004024	57.88325	51.418358	-16.680227	-8.65122	-15.821966	6.901816	-28.910177	-11.571042	25.502106	-1.9219333
TE0004025	55.88866	-11.850508	87.51775	24.082249	-0.43314487	-15.553589	-5.4153605	7.98651	1.4865644	-1.0086354
TE0004026	25.603271	-60.513073	59.387154	-10.922414	68.78376	14.881387	-3.0952528	-4.9615283	9.353787	1.8051665
TE0004027	55.595512	-34.87631	22.956573	-15.103866	16.499676	30.77347	21.585905	-12.900286	-23.1035	-22.898613
TE0004028	62.395653	12.477628	-33.152534	-28.08909	-34.14833	-5.8255653	-13.893315	-45.597385	-5.7469435	-0.9426335
TE0004029	18.884832	24.379332	6.9019184	30.611355	-3.8376381	-19.710453	54.211933	-7.1939316	7.974639	-3.1993284
TE0004030	139.42531	-72.58718	-19.357344	-6.085337	-13.626947	-22.163769	41.82509	-24.903006	-26.72304	-10.1016
TE0004031	42.948936	8.347086	-7.716827	15.385977	6.925476	13.932837	18.357536	17.29776	15.877227	8.922029
TE0004032	76.91296	-50.417614	-15.9497385	12.648353	-10.576776	-17.260078	-21.4268	26.815947	-8.309397	8.088199
TE0004033	36.675488	-2.5695965	4.390578	3.3571815	-21.3868	-33.831203	5.202983	-1.814693	17.722357	-8.397473
TE0004034	-16.32064	41.594494	-7.943848	2.24933	-0.51748186	-10.406594	-27.631178	5.6553936	-17.757074	9.686156
TE0004035	70.90228	14.799283	27.149076	-17.256542	5.090786	-21.131416	-38.60312	-12.105113	-0.6229025	-7.6301327
TE0004036	-4.0897174	-21.154846	5.118694	13.937023	-16.42181	0.66952896	-9.509898	16.578127	-17.685486	19.692759
TE0004037	28.073553	67.680916	13.526722	20.400017	-16.742926	6.321912	-4.7864585	11.633025	0.97698045	-7.322752
TE0004038	-6.383459	1.0964085	-21.391111	-51.139046	-3.999998	-2.5894058	-24.611164	-8.100545	27.491741	-15.478688
TE0004039	-0.20359455	43.207096	-0.73814356	9.549284	21.12939	0.14507769	4.722949	-24.057158	7.561586	21.540003
TE0004040	105.590515	-30.628984	7.552591	29.42176	-5.507154	-0.8852849	-43.44567	6.5709724	3.4106534	-13.5617075
TE0004041	100.959435	-51.930832	25.903278	10.426549	10.736273	14.298256	-18.77729	3.703616	2.866086	-6.1938977
TE0004042	134.0099	22.930206	-15.40689	19.15844	13.235978	0.17238119	-37.170815	-42.15362	17.73208	-36.364437
TE0004043	55.497417	50.721603	-23.38783	24.861898	24.196264	23.39433	-13.704941	6.347875	-11.600013	-3.0673797
TE0004044	64.50522	-35.218937	-4.094715	15.990327	-35.801712	27.473886	-21.860237	1.6010818	-15.156056	-18.052755
TE0004045	32.013718	29.879786	-10.621928	-28.153042	-36.638172	-0.8357855	6.2824583	3.7528958	-7.5923777	-1.1840589
TE0004046	-0.09594236	-16.885275	37.347633	-36.456882	18.523289	-5.4775453	-27.067686	19.516731	5.4580317	8.975786
TE0004047	82.52619	-59.478306	-33.650356	13.039688	-33.478184	-32.051155	-15.24125	3.1203144	-25.545687	6.3630023
TE0004048	81.312294	-18.079859	-42.867992	-30.227592	1.3049556	-28.685762	39.866676	-22.510075	-21.853737	-5.398819
TE0004049	65.82681	-21.052166	-3.1765356	-2.9180648	-22.93185	12.249566	13.178734	9.368764	-8.44166	13.00338
TE0004050	115.50919	37.114025	7.3309917	18.973616	13.25917	9.82475	12.247034	-7.850914	1.9850242	-8.121424
TE0004051	58.435886	-42.94634	37.51207	49.227898	27.540695	11.564462	-16.135817	25.87971	-2.8083212	-7.213769
TE0004052	48.4378	-55.217754	-18.254395	-9.703712	-10.132605	-2.2988794	-7.8376107	0.8465619	-4.116402	10.3282995
TE0004053	78.261536	-17.480806	20.599943	-6.607638	-26.96556	16.766348	-8.9776745	-6.744186	13.181834	-10.026901
TE0004054	-5.81279	23.485844	-32.185673	-30.95913	0.4404089	-5.126012	-10.851304	3.55913	-10.600817	5.5964117
TE0004055	50.012836	23.889053	-40.64631	24.410284	58.15815	-37.58534	3.9758377	-15.025933	7.9282727	13.603965
TE0004056	51.117683	-8.205342	50.937496	3.535552	21.53144	-8.001016	-37.54481	-10.813679	-23.633638	7.0682344
TE0004057	81.254074	-30.31911	-32.71597	-7.463476	-14.785469	16.679802	9.230643	-2.9232268	-5.6579604	-3.2776108
TE0004058	66.3073	-41.95093	-15.965601	23.936535	-50.250813	1.3977237	-21.219349	-2.3397956	-1.1939641	-4.0732465
TE0004059	46.753464	-55.902508	-39.311783	26.619715	-8.437075	13.208378	0.27082935	-6.779279	-2.561261	-26.134033
TE0004060	32.713676	13.002046	16.42401	-37.548046	4.651068	-34.55861	-23.418056	1.5821409	41.613346	-9.22775
TE0004061	116.72531	-42.265724	-24.379812	18.505548	-27.601488	-1.7787814	10.066476	11.935982	23.622175	3.4970558
TE0004062	14.395606	40.74949	0.25093052	49.115437	-10.287916	-30.612358	-0.4582831	8.9909525	15.44243	-2.2150319
TE0004063	56.28875	-26.997347	55.45276	5.4294376	19.782398	3.373632	-22.266008	5.6338835	9.785391	8.445674
TE0004064	-17.425812	19.18951	8.876145	-15.427485	-17.571936	19.266518	-14.539791	20.16521	17.742989	11.299021
TE0004065	73.92603	-19.54687	8.831277	16.699476	-18.700808	-33.917206	21.035378	23.94339	-10.710186	6.422047
TE0004066	25.28328	18.149775	-5.053962	-29.566593	-34.0649	30.48862	-4.8079553	-5.0549345	-1.3557043	7.1603217
TE0004067	98.51289	4.686758	-17.894033	33.67772	-8.977715	6.30331	7.300447	27.816374	-6.9485006	2.4563217
TE0004068	37.992046	-15.150912	27.708796	-10.466951	-10.361416	-6.9317503	-31.483381	25.572723	12.505937	3.70529
TE0004069	46.663635	11.188836	-16.62479	18.805206	43.421635	3.1826077	22.622372	28.077158	36.10048	-8.09149
TE0004070	60.593822	4.12846	51.598812	25.553774	-34.193398	17.976421	4.6729064	21.942543	6.2241282	-13.271702
TE0004071	10.497859	-8.298127	-8.7199135	-46.638947	26.243195	-25.003536	-29.52248	-2.7055886	-16.311522	-3.0956225
TE0004072	-3.0687335	24.841402	33.797253	-30.47281	22.239704	-6.3986373	21.021814	18.675325	4.058685	-5.89478
TE0004073	5.753399	28.08434	-9.252574	-4.938656	-30.550234	-7.6455564	-33.974964	-17.461222	-10.262891	6.940262
TE0004074	50.552002	-2.9828734	-30.587778	-4.8869653	9.727686	-10.948873	-10.559983	22.391975	4.4554067	-28.23284
TE0004075	84.83168	-20.341858	-48.66074	-12.104393	-16.637861	-0.14412871	8.656156	-17.287209	-20.73739	2.89698
TE0004076	7.714988	67.72552	-0.5131689	13.662491	31.378782	4.236147	-26.234303	-17.259943	-15.510561	12.809044
TE0004077	6.8821716	-7.523105	-3.6988842	-28.82022	-21.106062	-3.0864515	6.9051456	35.954304	17.082659	29.968275
TE0004078	64.0301	-34.0031	-37.20114	-0.13699372	-24.505829	-15.406386	-3.959635	11.301269	14.942077	-3.4721758
TE0004079	56.814274	-12.211122	-46.7992	7.203663	30.121174	39.04808	15.933153	-18.729166	-4.6666026	10.7869625
TE0004080	66.98909	44.92679	-5.577876	21.476141	57.466583	1.2373779	-7.5587745	5.5496426	-10.066786	2.8656452
TE0004081	64.00229	-8.428131	-17.369331	12.301082	-41.727776	-12.479102	-10.091096	14.879654	-5.17558	16.40254
TE0004082	82.25448	-22.496473	-39.135326	4.0674253	-13.040441	11.324956	-30.311855	2.3733122	-6.4723396	-9.645304
TE0004083	94.7713	-26.300043	9.128178	4.222805	-2.1966953	-0.19943166	-22.760664	25.878922	9.147381	-12.32085
TE0004084	45.80987	55.98857	2.9761162	31.012136	-1.1326299	9.0607	-33.389927	-12.83209	-0.7096761	-17.400017
TE0004085	-25.680595	-10.288922	16.20305	-35.962883	-0.1477502	30.712687	-24.689585	16.713764	-8.097909	4.639593
TE0004086	17.95805	30.231937	21.747028	-35.93421	-38.86964	28.93423	-27.916046	-13.54991	-11.2776165	-2.1233625
TE0004087	62.112328	-31.094238	-17.647802	-11.492591	6.9687657	-16.564968	-29.566687	-23.646141	-22.432808	-3.5742192
TE0004088	73.15291	-15.600582	53.864384	-2.9302478	15.4926	-12.01665	6.980525	27.2381	6.7017875	19.896622
TE0004089	41.85548	-21.468628	-23.406267	-11.34641	-22.603056	-13.501071	14.283465	-8.025516	0.4743304	-3.7354538
TE0004090	109.88134	-31.349127	38.16473	-13.61746	21.464893	7.2745147	10.062404	21.02158	29.410185	-9.814984
TE0004091	12.318917	29.212029	-15.999444	-43.167236	-10.77272	-0.33686805	17.898851	-14.964812	9.613401	-2.9514492
TE0004092	37.752506	62.04529	-9.774839	-14.504698	22.950626	9.647347	-19.705645	-15.5039625	11.289188	14.019862
TE0004093	-5.765613	31.3032	10.063535	-25.834064	-41.78762	-48.54228	-18.721703	-1.4548173	-11.70025	-2.4209275
TE0004094	-4.581311	-41.32023	76.526	23.07537	33.252666	19.288488	3.3574667	13.258336	6.181924	0.48956612
TE0004095	73.65814	34.40995	1.6627558	-5.065986	20.504	35.75049	6.040218	-42.11625	0.9927679	-19.616121
TE0004096	76.95958	-4.2206507	11.198777	12.821483	14.0851755	27.987154	2.8564844	5.8945627	9.713265	-23.36631
TE0004097	54.29961	41.5926	29.117695	-1.1001327	-0.11040771	-3.4880753	-14.35509	23.196014	23.0144	-14.742973
TE0004098	-51.411644	9.897637	40.791153	-16.717499	-26.773596	3.738617	-21.345285	15.332613	-14.309367	-6.789196
TE0004099	-7.3890376	17.359167	28.002	-19.109001	42.127735	1.577244	39.983963	12.075131	28.388922	2.6124687
TE0004100	59.139877	34.314327	-5.3181744	-6.5881104	-3.6239595	24.077986	15.818996	18.20751	3.1403701	2.5493028
TE0004101	24.025152	-35.45183	-35.075405	-12.144727	-23.210768	-18.722052	20.628813	21.404556	-6.949994	18.132372
TE0004102	61.989597	7.459993	-17.931448	-20.933237	-18.454866	38.876347	14.41509	14.858602	6.2799053	-9.451402
TE0004103	76.4002	-31.023159	17.040808	-12.58548	-3.3236332	-17.206963	-36.57164	9.835434	16.053747	-19.60861
TE0004104	70.56603	55.05132	-10.419017	38.240406	70.28621	-12.487938	-2.87945	-17.799534	9.004733	-11.769421
TE0004105	64.80487	22.561316	-31.019333	-3.6125128	-13.252107	5.2555056	-31.007532	-14.007109	0.28452393	11.84344
TE0004106	106.188644	3.4941273	51.49576	-8.329208	-23.039934	29.129911	13.870989	23.930573	-12.749549	-21.249514
TE0004107	38.583824	-24.26643	58.000565	21.430128	6.64703	-20.462933	-4.452584	19.48696	-9.036219	22.53486
TE0004108	141.48415	-40.224213	-48.11014	3.6572068	-28.560488	38.910862	18.314428	-22.18975	-18.06119	-32.115917
TE0004109	11.775934	53.878002	15.647532	23.289825	-17.207724	20.810163	-11.332191	-13.109334	-16.856659	1.8315545
TE0004110	73.69718	-29.10952	-20.69777	15.532064	-24.793629	3.3016305	11.171906	-31.520945	-11.510117	-1.1200827
